,Alive,Currently Infected,Dead,Time Step,Total Infected So Far
0,1971.0,10.0,29.0,0.0,60.0
1,1967.0,5.0,33.0,1.0,65.0
2,1964.0,2.0,36.0,2.0,67.0
3,1964.0,0.0,36.0,3.0,67.0
4,1964.0,0.0,36.0,4.0,67.0
5,1964.0,0.0,36.0,5.0,67.0
6,1964.0,0.0,36.0,6.0,67.0
7,1964.0,0.0,36.0,7.0,67.0
8,1964.0,0.0,36.0,8.0,67.0
9,1964.0,0.0,36.0,9.0,67.0
10,1964.0,0.0,36.0,10.0,67.0
11,1964.0,0.0,36.0,11.0,67.0
12,1964.0,0.0,36.0,12.0,67.0
13,1964.0,0.0,36.0,13.0,67.0
14,1964.0,0.0,36.0,14.0,67.0
15,1964.0,0.0,36.0,15.0,67.0
16,1964.0,0.0,36.0,16.0,67.0
17,1964.0,0.0,36.0,17.0,67.0
18,1964.0,0.0,36.0,18.0,67.0
19,1964.0,0.0,36.0,19.0,67.0
20,1964.0,0.0,36.0,20.0,67.0
